pkey,created_on,last_updated_on,version,balls,max_overs,inn_num,runs,src_id,wickets,batting_team_pkey,fielding_team_pkey,match_pkey
1,"2021-02-14 23:31:36",NULL,0,103,NULL,1,70,93946,10,2,1,1
2,"2021-02-14 23:31:36",NULL,0,106,NULL,2,71,93950,3,1,2,1
3,"2021-02-14 23:31:52",NULL,0,120,NULL,1,181,93957,3,4,3,2
4,"2021-02-14 23:31:52",NULL,0,118,NULL,2,183,93959,4,3,4,2
5,"2021-02-14 23:32:10",NULL,0,120,NULL,1,213,93964,6,6,5,3
6,"2021-02-14 23:32:10",NULL,0,116,NULL,2,176,93966,10,5,6,3
7,"2021-02-14 23:32:27",NULL,0,120,NULL,1,184,93973,4,8,7,4
8,"2021-02-14 23:32:27",NULL,0,120,NULL,2,170,93976,9,7,8,4
9,"2021-02-14 23:32:30",NULL,0,120,NULL,1,147,93979,6,6,1,5
10,"2021-02-14 23:32:30",NULL,0,118,NULL,2,150,93980,4,1,6,5
11,"2021-02-14 23:32:33",NULL,0,120,NULL,1,218,93989,4,3,8,6
12,"2021-02-14 23:32:33",NULL,0,120,NULL,2,190,93992,4,8,3,6
13,"2021-02-14 23:32:36",NULL,0,120,NULL,1,187,93997,8,5,2,7
14,"2021-02-14 23:32:36",NULL,0,120,NULL,2,181,94001,5,2,5,7
15,"2021-02-14 23:32:38",NULL,0,120,NULL,1,198,94011,2,7,4,8
16,"2021-02-14 23:32:38",NULL,0,114,NULL,2,201,94013,5,4,7,8
17,"2021-02-14 23:32:41",NULL,0,120,NULL,1,176,94020,7,5,8,9
18,"2021-02-14 23:32:41",NULL,0,112,NULL,2,177,94021,2,8,5,9
19,"2021-02-14 23:32:44",NULL,0,120,NULL,1,185,94022,8,3,6,10
20,"2021-02-14 23:32:44",NULL,0,120,NULL,2,185,94023,6,6,3,10
21,"2021-02-14 23:32:46",NULL,0,120,NULL,1,231,94026,2,4,2,11
22,"2021-02-14 23:32:46",NULL,0,119,NULL,2,113,94029,10,2,4,11
23,"2021-02-14 23:32:49",NULL,0,120,NULL,1,175,94030,5,1,7,12
24,"2021-02-14 23:32:49",NULL,0,120,NULL,2,167,94032,8,7,1,12
25,"2021-02-14 23:32:52",NULL,0,120,NULL,1,166,94039,9,8,6,13
26,"2021-02-14 23:32:52",NULL,0,116,NULL,2,152,94040,10,6,8,13
27,"2021-02-14 23:32:56",NULL,0,120,NULL,1,158,94046,4,2,7,14
28,"2021-02-14 23:32:56",NULL,0,119,NULL,2,164,94047,3,7,2,14
29,"2021-02-14 23:32:59",NULL,0,120,NULL,1,170,94048,5,5,1,15
30,"2021-02-14 23:32:59",NULL,0,120,NULL,2,133,94049,8,1,5,15
31,"2021-02-14 23:33:01",NULL,0,120,NULL,1,129,94060,8,6,4,16
32,"2021-02-14 23:33:01",NULL,0,111,NULL,2,131,94061,5,4,6,16
33,"2021-02-14 23:33:05",NULL,0,120,NULL,1,205,94076,3,2,3,17
34,"2021-02-14 23:33:05",NULL,0,115,NULL,2,206,94079,5,3,2,17
35,"2021-02-14 23:33:08",NULL,0,120,NULL,1,160,94085,3,1,8,18
36,"2021-02-14 23:33:08",NULL,0,120,NULL,2,138,94088,5,8,1,18
37,"2021-02-14 23:33:10",NULL,0,120,NULL,1,136,94092,7,5,4,19
38,"2021-02-14 23:33:10",NULL,0,106,NULL,2,96,94096,10,4,5,19
39,"2021-02-14 23:33:13",NULL,0,120,NULL,1,149,94104,8,2,6,20
40,"2021-02-14 23:33:13",NULL,0,113,NULL,2,152,94106,6,6,2,20
41,"2021-02-14 23:33:16",NULL,0,120,NULL,1,139,94112,3,7,3,21
