pkey,created_on,last_updated_on,version,balls,balls_at_dismissal,dismissal,innings,number,runs,score_at_dismissal,bowler_pkey,match_pkey,player_pkey
1,"2021-02-14 23:31:36",NULL,0,12,21,caught,1,1,6,16,30,1,11
2,"2021-02-14 23:31:36",NULL,0,8,32,caught,1,2,9,28,30,1,12
3,"2021-02-14 23:31:36",NULL,0,10,44,caught,1,3,9,38,30,1,21
4,"2021-02-14 23:31:36",NULL,0,2,48,runout,1,4,0,39,NULL,1,44
5,"2021-02-14 23:31:36",NULL,0,5,56,caught,1,5,2,45,36,1,35
6,"2021-02-14 23:31:36",NULL,0,6,63,caught,1,6,4,50,24,1,3
7,"2021-02-14 23:31:36",NULL,0,3,67,caught,1,7,2,53,36,1,10
8,"2021-02-14 23:31:36",NULL,0,12,82,caught,1,8,4,59,36,1,39
9,"2021-02-14 23:31:36",NULL,0,10,101,bowled,1,9,1,70,24,1,37
10,"2021-02-14 23:31:36",NULL,0,35,103,caught,1,10,29,70,41,1,47
11,"2021-02-14 23:31:36",NULL,0,10,13,bowled,2,1,0,8,39,1,42
12,"2021-02-14 23:31:36",NULL,0,21,56,caught,2,2,19,40,12,1,22
13,"2021-02-14 23:31:36",NULL,0,42,86,bowled,2,3,28,59,32,1,27
14,"2021-02-14 23:31:52",NULL,0,35,77,bowled,1,1,39,118,92,2,54
15,"2021-02-14 23:31:52",NULL,0,53,96,caught,1,2,85,144,90,2,72
16,"2021-02-14 23:31:52",NULL,0,4,105,bowled,1,3,1,152,90,2,65
17,"2021-02-14 23:31:52",NULL,0,11,12,caught,2,1,7,7,94,2,84
18,"2021-02-14 23:31:52",NULL,0,27,70,bowled,2,2,35,87,98,2,61
19,"2021-02-14 23:31:52",NULL,0,4,76,caught,2,3,2,95,71,2,97
20,"2021-02-14 23:31:52",NULL,0,47,93,lbw,2,4,68,118,63,2,60
21,"2021-02-14 23:32:10",NULL,0,6,9,caught,1,1,7,10,105,3,115
22,"2021-02-14 23:32:10",NULL,0,10,22,caught,1,2,16,29,105,3,142
23,"2021-02-14 23:32:10",NULL,0,32,78,caught,1,3,47,112,138,3,124
24,"2021-02-14 23:32:10",NULL,0,36,91,caught,1,4,43,131,118,3,110
25,"2021-02-14 23:32:10",NULL,0,5,101,caught,1,5,3,157,105,3,150
26,"2021-02-14 23:32:10",NULL,0,2,104,caught,1,6,4,165,119,3,109
27,"2021-02-14 23:32:10",NULL,0,13,21,caught,2,1,14,33,144,3,107
28,"2021-02-14 23:32:10",NULL,0,6,31,runout,2,2,2,37,NULL,3,104
29,"2021-02-14 23:32:10",NULL,0,16,35,caught,2,3,27,45,144,3,106
30,"2021-02-14 23:32:10",NULL,0,13,65,caught,2,4,21,95,150,3,117
31,"2021-02-14 23:32:10",NULL,0,2,68,caught,2,5,0,95,109,3,118
32,"2021-02-14 23:32:10",NULL,0,15,90,caught,2,6,32,134,101,3,143
33,"2021-02-14 23:32:10",NULL,0,4,98,caught,2,7,3,153,126,3,138
34,"2021-02-14 23:32:10",NULL,0,35,109,caught,2,8,53,170,126,3,145
35,"2021-02-14 23:32:10",NULL,0,8,116,stumped,2,9,10,176,131,3,105
36,"2021-02-14 23:32:27",NULL,0,4,4,caught,1,1,4,4,185,4,177
37,"2021-02-14 23:32:27",NULL,0,24,53,caught,1,2,22,60,174,4,167
38,"2021-02-14 23:32:27",NULL,0,47,95,caught,1,3,79,144,161,4,186
39,"2021-02-14 23:32:27",NULL,0,14,115,caught,1,4,12,167,161,4,198
40,"2021-02-14 23:32:27",NULL,0,20,49,bowled,2,1,27,78,191,4,187
41,"2021-02-14 23:32:27",NULL,0,43,77,runout,2,2,69,108,NULL,4,188
42,"2021-02-14 23:32:27",NULL,0,16,100,caught,2,3,20,148,184,4,170
43,"2021-02-14 23:32:27",NULL,0,25,102,caught,2,4,30,150,184,4,165
44,"2021-02-14 23:32:27",NULL,0,2,105,caught,2,5,6,157,193,4,161
45,"2021-02-14 23:32:27",NULL,0,4,108,caught,2,6,1,158,193,4,194
46,"2021-02-14 23:32:27",NULL,0,2,113,runout,2,7,2,163,NULL,4,178
47,"2021-02-14 23:32:27",NULL,0,2,115,caught,2,8,1,164,176,4,175
48,"2021-02-14 23:32:27",NULL,0,4,116,caught,2,9,3,164,176,4,174
49,"2021-02-14 23:32:30",NULL,0,16,27,caught,1,1,24,36,2,5,115
50,"2021-02-14 23:32:30",NULL,0,20,70,lbw,1,2,18,79,36,5,142
51,"2021-02-14 23:32:30",NULL,0,13,92,caught,1,3,25,120,41,5,136
52,"2021-02-14 23:32:30",NULL,0,2,94,caught,1,4,2,122,41,5,124
53,"2021-02-14 23:32:30",NULL,0,4,99,bowled,1,5,0,123,24,5,150
54,"2021-02-14 23:32:30",NULL,0,47,103,caught,1,6,51,127,41,5,110
55,"2021-02-14 23:32:30",NULL,0,5,16,caught,2,1,5,21,144,5,27
56,"2021-02-14 23:32:30",NULL,0,26,40,stumped,2,2,44,73,147,5,42
57,"2021-02-14 23:32:30",NULL,0,16,62,caught,2,3,30,98,147,5,22
58,"2021-02-14 23:32:30",NULL,0,34,115,caught,2,4,27,146,126,5,46
59,"2021-02-14 23:32:33",NULL,0,10,16,caught,1,1,10,34,160,6,84
60,"2021-02-14 23:32:33",NULL,0,9,21,caught,1,2,24,36,152,6,93
61,"2021-02-14 23:32:33",NULL,0,34,87,caught,1,3,63,146,164,6,60
62,"2021-02-14 23:32:33",NULL,0,17,118,caught,1,4,48,213,179,6,90
63,"2021-02-14 23:32:33",NULL,0,5,10,caught,2,1,1,11,96,6,177
64,"2021-02-14 23:32:33",NULL,0,13,26,caught,2,2,20,37,90,6,186
65,"2021-02-14 23:32:33",NULL,0,13,45,caught,2,3,13,60,90,6,190
66,"2021-02-14 23:32:33",NULL,0,34,92,bowled,2,4,58,134,92,6,167
67,"2021-02-14 23:32:36",NULL,0,20,39,bowled,1,1,23,54,39,7,106
68,"2021-02-14 23:32:36",NULL,0,33,64,caught,1,2,48,87,37,7,107
69,"2021-02-14 23:32:36",NULL,0,12,82,caught,1,3,23,124,39,7,145
70,"2021-02-14 23:32:36",NULL,0,24,93,caught,1,4,38,142,39,7,104
71,"2021-02-14 23:32:36",NULL,0,6,96,caught,1,5,5,145,39,7,117
72,"2021-02-14 23:32:36",NULL,0,2,99,caught,1,6,1,146,37,7,143
73,"2021-02-14 23:32:36",NULL,0,4,103,bowled,1,7,1,147,32,7,105
74,"2021-02-14 23:32:36",NULL,0,5,115,caught,1,8,6,172,32,7,133
75,"2021-02-14 23:32:36",NULL,0,7,20,runout,2,1,13,27,NULL,7,12
76,"2021-02-14 23:32:36",NULL,0,22,41,bowled,2,2,31,67,133,7,47
77,"2021-02-14 23:32:36",NULL,0,32,82,caught,2,3,46,116,119,7,11
78,"2021-02-14 23:32:36",NULL,0,6,97,caught,2,4,5,147,119,7,44
79,"2021-02-14 23:32:36",NULL,0,7,111,caught,2,5,2,169,119,7,3
80,"2021-02-14 23:32:38",NULL,0,8,20,bowled,1,1,5,15,63,8,188
81,"2021-02-14 23:32:38",NULL,0,49,95,caught,1,2,70,134,67,8,187
82,"2021-02-14 23:32:38",NULL,0,37,58,caught,2,1,69,110,161,8,72
83,"2021-02-14 23:32:38",NULL,0,28,66,caught,2,2,45,117,196,8,54
84,"2021-02-14 23:32:38",NULL,0,10,88,caught,2,3,14,164,175,8,78
85,"2021-02-14 23:32:38",NULL,0,15,93,caught,2,4,35,167,196,8,99
86,"2021-02-14 23:32:38",NULL,0,4,94,lbw,2,5,1,167,196,8,62
87,"2021-02-14 23:32:41",NULL,0,18,32,lbw,1,1,32,51,152,9,107
88,"2021-02-14 23:32:41",NULL,0,6,38,lbw,1,2,11,62,189,9,104
89,"2021-02-14 23:32:41",NULL,0,39,78,lbw,1,3,60,120,160,9,106
90,"2021-02-14 23:32:41",NULL,0,22,88,caught,1,4,18,126,189,9,145
91,"2021-02-14 23:32:41",NULL,0,9,103,caught,1,5,7,146,179,9,117
92,"2021-02-14 23:32:41",NULL,0,5,111,caught,1,6,10,162,152,9,143
93,"2021-02-14 23:32:41",NULL,0,19,118,caught,1,7,31,175,160,9,118
94,"2021-02-14 23:32:41",NULL,0,24,44,caught,2,1,40,53,143,9,186
95,"2021-02-14 23:32:41",NULL,0,21,81,caught,2,2,43,117,143,9,167
96,"2021-02-14 23:32:44",NULL,0,16,22,lbw,1,1,7,16,120,10,86
97,"2021-02-14 23:32:44",NULL,0,6,36,lbw,1,2,11,36,127,10,61
98,"2021-02-14 23:32:44",NULL,0,18,41,caught,1,3,20,40,126,10,84
99,"2021-02-14 23:32:44",NULL,0,2,43,caught,1,4,1,44,127,10,60
100,"2021-02-14 23:32:44",NULL,0,5,55,runout,1,5,4,61,NULL,10,79
101,"2021-02-14 23:32:44",NULL,0,28,107,caught,1,6,62,156,113,10,90
102,"2021-02-14 23:32:44",NULL,0,36,112,caught,1,7,50,170,147,10,97
103,"2021-02-14 23:32:44",NULL,0,5,120,runout,1,8,12,185,NULL,10,92
104,"2021-02-14 23:32:44",NULL,0,8,16,caught,2,1,16,27,92,10,110
105,"2021-02-14 23:32:44",NULL,0,32,72,caught,2,2,43,116,90,10,142
106,"2021-02-14 23:32:44",NULL,0,15,107,caught,2,3,11,170,64,10,136
107,"2021-02-14 23:32:44",NULL,0,55,111,caught,2,4,99,174,96,10,115
108,"2021-02-14 23:32:44",NULL,0,3,119,caught,2,5,2,184,64,10,114
109,"2021-02-14 23:32:44",NULL,0,7,120,runout,2,6,10,185,NULL,10,124
110,"2021-02-14 23:32:46",NULL,0,56,98,caught,1,1,114,185,39,11,54
111,"2021-02-14 23:32:46",NULL,0,3,105,runout,1,2,9,202,NULL,11,99
112,"2021-02-14 23:32:46",NULL,0,8,12,caught,2,1,11,13,75,11,47
113,"2021-02-14 23:32:46",NULL,0,9,19,stumped,2,2,9,20,75,11,44
114,"2021-02-14 23:32:46",NULL,0,2,22,bowled,2,3,1,22,75,11,21
115,"2021-02-14 23:32:46",NULL,0,10,37,caught,2,4,3,30,71,11,11
116,"2021-02-14 23:32:46",NULL,0,8,38,runout,2,5,2,30,NULL,11,12
117,"2021-02-14 23:32:46",NULL,0,7,45,caught,2,6,5,35,75,11,35
118,"2021-02-14 23:32:46",NULL,0,24,91,caught,2,7,19,86,71,11,6
119,"2021-02-14 23:32:46",NULL,0,9,105,runout,2,8,14,103,NULL,11,37
120,"2021-02-14 23:32:46",NULL,0,32,111,runout,2,9,37,109,NULL,11,3
121,"2021-02-14 23:32:46",NULL,0,3,119,caught,2,10,1,113,71,11,39
122,"2021-02-14 23:32:49",NULL,0,8,12,caught,1,1,1,1,178,12,27
123,"2021-02-14 23:32:49",NULL,0,13,22,caught,1,2,13,14,161,12,42
124,"2021-02-14 23:32:49",NULL,0,3,29,caught,1,3,8,27,185,12,46
125,"2021-02-14 23:32:49",NULL,0,32,82,bowled,1,4,36,88,175,12,22
126,"2021-02-14 23:32:49",NULL,0,16,111,caught,1,5,27,144,178,12,41
127,"2021-02-14 23:32:49",NULL,0,2,2,caught,2,1,0,0,2,12,187
128,"2021-02-14 23:32:49",NULL,0,10,18,caught,2,2,8,14,2,12,165
129,"2021-02-14 23:32:49",NULL,0,7,19,caught,2,3,6,14,40,12,188
130,"2021-02-14 23:32:49",NULL,0,24,60,caught,2,4,39,75,36,12,194
131,"2021-02-14 23:32:49",NULL,0,30,80,caught,2,5,28,94,36,12,170
132,"2021-02-14 23:32:49",NULL,0,8,97,caught,2,6,9,120,40,12,174
133,"2021-02-14 23:32:49",NULL,0,26,115,caught,2,7,46,164,41,12,161
134,"2021-02-14 23:32:49",NULL,0,3,119,caught,2,8,0,166,41,12,196
135,"2021-02-14 23:32:52",NULL,0,11,11,lbw,1,1,15,15,113,13,177
136,"2021-02-14 23:32:52",NULL,0,10,23,lbw,1,2,20,36,120,13,184
137,"2021-02-14 23:32:52",NULL,0,9,43,runout,1,3,6,58,NULL,13,167
138,"2021-02-14 23:32:52",NULL,0,29,83,caught,1,4,39,120,120,13,190
139,"2021-02-14 23:32:52",NULL,0,30,98,caught,1,5,43,137,113,13,181
140,"2021-02-14 23:32:52",NULL,0,3,105,caught,1,6,1,146,126,13,152
141,"2021-02-14 23:32:52",NULL,0,4,113,bowled,1,7,3,152,113,13,191
142,"2021-02-14 23:32:52",NULL,0,2,115,caught,1,8,1,153,126,13,189
143,"2021-02-14 23:32:52",NULL,0,1,118,runout,1,9,0,156,NULL,13,160
144,"2021-02-14 23:32:52",NULL,0,1,1,caught,2,1,0,0,191,13,115
145,"2021-02-14 23:32:52",NULL,0,22,44,bowled,2,2,28,61,152,13,142
146,"2021-02-14 23:32:52",NULL,0,25,59,lbw,2,3,30,82,191,13,110
147,"2021-02-14 23:32:52",NULL,0,26,100,bowled,2,4,39,144,160,13,136
148,"2021-02-14 23:32:52",NULL,0,1,101,runout,2,5,0,144,NULL,13,113
149,"2021-02-14 23:32:52",NULL,0,29,106,caught,2,6,38,147,184,13,124
