pkey,created_on,last_updated_on,version,format,is_reduced,is_target_adjusted,referee,result,src_id,timestamp_end,timestamp_start,toss_decision,toss_winner,umpires,win_margin,win_type,away_team_pkey,home_team_pkey,man_of_the_match_pkey,tournament_pkey,venue_pkey,winner_team_pkey
1,"2021-02-14 23:31:20",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40281,1553394600,1553351400,fielding,610,"Anil Dandekar (India), Bruce Oxenford (Australia), Nitin Menon (India, TV)",NULL,NULL,2,1,NULL,1,NULL,NULL
2,"2021-02-14 23:31:39",NULL,0,T20,0,0,"Vengalil Narayan Kutty (India)",NULL,40282,1553466600,1553423400,fielding,591,"Vineet Kulkarni (India, TV), Chris Gaffaney (New Zealand), Anil Chaudhary (India)",NULL,NULL,4,3,NULL,1,NULL,NULL
3,"2021-02-14 23:31:55",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40283,1553481000,1553437800,fielding,593,"Yeshwant Barde (India), Nandan (India, TV), Sundaram Ravi (India)",NULL,NULL,6,5,NULL,1,NULL,NULL
4,"2021-02-14 23:32:13",NULL,0,T20,0,0,"Chinmay Sharma (India)",NULL,40284,1553567400,1553524200,fielding,629,"KN Ananthapadmanabhan (India), Chettithody Shamshuddin (India), Bruce Oxenford (Australia, TV)",NULL,NULL,8,7,NULL,1,NULL,NULL
5,"2021-02-14 23:32:30",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40285,1553653800,1553610600,batting,612,"Anil Dandekar (India, TV), Marais Erasmus (South Africa), Nitin Menon (India)",NULL,NULL,1,6,NULL,1,NULL,NULL
6,"2021-02-14 23:32:32",NULL,0,T20,0,0,"Vengalil Narayan Kutty (India)",NULL,40286,1553740200,1553697000,fielding,627,"Vineet Kulkarni (India), Chris Gaffaney (New Zealand, TV), Anil Chaudhary (India)",NULL,NULL,8,3,NULL,1,NULL,NULL
7,"2021-02-14 23:32:35",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40287,1553826600,1553783400,fielding,646,"Yeshwant Barde (India, TV), Nandan (India), Sundaram Ravi (India)",NULL,NULL,5,2,NULL,1,NULL,NULL
8,"2021-02-14 23:32:38",NULL,0,T20,0,0,"Chinmay Sharma (India)",NULL,40288,1553913000,1553869800,batting,629,"KN Ananthapadmanabhan (India, TV), Chettithody Shamshuddin (India), Bruce Oxenford (Australia)",NULL,NULL,7,4,NULL,1,NULL,NULL
9,"2021-02-14 23:32:40",NULL,0,T20,0,0,"Vengalil Narayan Kutty (India)",NULL,40289,1553985000,1553941800,fielding,627,"Vineet Kulkarni (India), Chris Gaffaney (New Zealand), Anil Chaudhary (India, TV)",NULL,NULL,5,8,NULL,1,NULL,NULL
10,"2021-02-14 23:32:43",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40290,1553999400,1553956200,fielding,612,"Anil Dandekar (India), Marais Erasmus (South Africa, TV), Nitin Menon (India)",NULL,NULL,3,6,NULL,1,NULL,NULL
11,"2021-02-14 23:32:46",NULL,0,T20,0,0,"Chinmay Sharma (India)",NULL,40291,1554071400,1554028200,fielding,646,"KN Ananthapadmanabhan (India), Chettithody Shamshuddin (India, TV), Sundaram Ravi (India)",NULL,NULL,2,4,NULL,1,NULL,NULL
12,"2021-02-14 23:32:48",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40292,1554085800,1554042600,fielding,629,"Bruce Oxenford (Australia, TV), Yeshwant Barde (India), Nandan (India)",NULL,NULL,7,1,NULL,1,NULL,NULL
13,"2021-02-14 23:32:51",NULL,0,T20,0,0,"Vengalil Narayan Kutty (India)",NULL,40293,1554172200,1554129000,fielding,612,"Vineet Kulkarni (India, TV), Chris Gaffaney (New Zealand), Anil Chaudhary (India)",NULL,NULL,6,8,NULL,1,NULL,NULL
14,"2021-02-14 23:32:55",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40294,1554258600,1554215400,fielding,629,"Anil Dandekar (India), Marais Erasmus (South Africa), Nitin Menon (India, TV)",NULL,NULL,2,7,NULL,1,NULL,NULL
15,"2021-02-14 23:32:58",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40295,1554345000,1554301800,fielding,610,"Rod Tucker (Australia), Bruce Oxenford (Australia), Yeshwant Barde (India, TV)",NULL,NULL,1,5,NULL,1,NULL,NULL
16,"2021-02-14 23:33:01",NULL,0,T20,0,0,"Chinmay Sharma (India)",NULL,40296,1554431400,1554388200,fielding,658,"KN Ananthapadmanabhan (India), Chettithody Shamshuddin (India), Sundaram Ravi (India, TV)",NULL,NULL,4,6,NULL,1,NULL,NULL
17,"2021-02-14 23:33:05",NULL,0,T20,0,0,"Vengalil Narayan Kutty (India)",NULL,40297,1554517800,1554474600,fielding,591,"Chris Gaffaney (New Zealand), Anil Chaudhary (India), Nandan (India, TV)",NULL,NULL,3,2,NULL,1,NULL,NULL
18,"2021-02-14 23:33:07",NULL,0,T20,0,0,"Chinmay Sharma (India)",NULL,40931,1554589800,1554546600,batting,610,"KN Ananthapadmanabhan (India), Rod Tucker (Australia), Chettithody Shamshuddin (India, TV)",NULL,NULL,8,1,NULL,1,NULL,NULL
19,"2021-02-14 23:33:10",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40932,1554604200,1554561000,fielding,658,"Anil Dandekar (India), Marais Erasmus (South Africa, TV), Nitin Menon (India)",NULL,NULL,5,4,NULL,1,NULL,NULL
20,"2021-02-14 23:33:12",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40933,1554676200,1554633000,fielding,612,"Yeshwant Barde (India), Nandan (India, TV), Sundaram Ravi (India)",NULL,NULL,6,2,NULL,1,NULL,NULL
21,"2021-02-14 23:33:15",NULL,0,T20,0,0,"Vengalil Narayan Kutty (India)",NULL,40934,1554690600,1554647400,fielding,591,"Bruce Oxenford (Australia, TV), Chris Gaffaney (New Zealand), Anil Chaudhary (India)",NULL,NULL,3,7,NULL,1,NULL,NULL
22,"2021-02-14 23:33:18",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40935,1554777000,1554733800,fielding,627,"Anil Dandekar (India), Marais Erasmus (South Africa), Nitin Menon (India, TV)",NULL,NULL,4,8,NULL,1,NULL,NULL
23,"2021-02-14 23:33:22",NULL,0,T20,0,0,"Prakash Bhatt (India)",NULL,40936,1554863400,1554820200,fielding,610,"Ulhas Gandhe (India, TV), Rod Tucker (Australia), Chettithody Shamshuddin (India)",NULL,NULL,3,1,NULL,1,NULL,NULL
24,"2021-02-14 23:33:24",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40937,1554949800,1554906600,fielding,593,"Yeshwant Barde (India), Sundaram Ravi (India), Nandan (India, TV)",NULL,NULL,8,5,NULL,1,NULL,NULL
25,"2021-02-14 23:33:27",NULL,0,T20,0,0,"Prakash Bhatt (India)",NULL,40938,1555036200,1554993000,fielding,610,"Ulhas Gandhe (India), Bruce Oxenford (Australia), Chris Gaffaney (New Zealand, TV)",NULL,NULL,1,7,NULL,1,NULL,NULL
26,"2021-02-14 23:33:29",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40939,1555122600,1555079400,fielding,612,"Rod Tucker (Australia, TV), Yeshwant Barde (India), Nandan (India)",NULL,NULL,6,3,NULL,1,NULL,NULL
27,"2021-02-14 23:33:32",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40940,1555194600,1555151400,fielding,629,"Marais Erasmus (South Africa, TV), Nitin Menon (India), Nand Kishore (India)",NULL,NULL,7,5,NULL,1,NULL,NULL
28,"2021-02-14 23:33:35",NULL,0,T20,0,0,"Prakash Bhatt (India)",NULL,40941,1555209000,1555165800,fielding,646,"Ulhas Gandhe (India), Nigel Llong (England, TV), Sundaram Ravi (India)",NULL,NULL,2,8,NULL,1,NULL,NULL
29,"2021-02-14 23:33:37",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40942,1555281000,1555237800,fielding,610,"Rod Tucker (Australia), Yeshwant Barde (India, TV), Nandan (India)",NULL,NULL,1,3,NULL,1,NULL,NULL
30,"2021-02-14 23:33:40",NULL,0,T20,0,0,"Vengalil Narayan Kutty (India)",NULL,40943,1555295400,1555252200,fielding,658,"Bruce Oxenford (Australia), Chris Gaffaney (New Zealand, TV), Anil Chaudhary (India)",NULL,NULL,6,4,NULL,1,NULL,NULL
31,"2021-02-14 23:33:42",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40944,1555381800,1555338600,fielding,593,"Marais Erasmus (South Africa), Nitin Menon (India), Nand Kishore (India, TV)",NULL,NULL,2,5,NULL,1,NULL,NULL
32,"2021-02-14 23:33:45",NULL,0,T20,0,0,"Andy Pycroft (Zimbabwe)",NULL,40945,1555468200,1555425000,fielding,629,"Vineet Kulkarni (India), Anil Chaudhary (India), Sundaram Ravi (India, TV)",NULL,NULL,7,8,NULL,1,NULL,NULL
33,"2021-02-14 23:33:48",NULL,0,T20,0,0,"Prakash Bhatt (India)",NULL,40946,1555554600,1555511400,batting,610,"Ulhas Gandhe (India), Chettithody Shamshuddin (India, TV), Ian Gould (England)",NULL,NULL,1,4,NULL,1,NULL,NULL
34,"2021-02-14 23:33:51",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40947,1555641000,1555597800,batting,593,"Bruce Oxenford (Australia), Nigel Llong (England), Anil Chaudhary (India, TV)",NULL,NULL,5,6,NULL,1,NULL,NULL
35,"2021-02-14 23:33:54",NULL,0,T20,0,0,"Andy Pycroft (Zimbabwe)",NULL,40948,1555727400,1555684200,fielding,591,"Anil Dandekar (India, TV), Ian Gould (England), Nitin Menon (India)",NULL,NULL,2,3,NULL,1,NULL,NULL
36,"2021-02-14 23:33:58",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40949,1555799400,1555756200,fielding,629,"Yeshwant Barde (India), Nandan (India, TV), Sundaram Ravi (India)",NULL,NULL,5,7,NULL,1,NULL,NULL
37,"2021-02-14 23:34:01",NULL,0,T20,0,0,"Prakash Bhatt (India)",NULL,40950,1555813800,1555770600,fielding,612,"Ulhas Gandhe (India), Chettithody Shamshuddin (India), Bruce Oxenford (Australia, TV)",NULL,NULL,8,6,NULL,1,NULL,NULL
38,"2021-02-14 23:34:06",NULL,0,T20,0,0,"Andy Pycroft (Zimbabwe)",NULL,40951,1555885800,1555842600,fielding,658,"Ian Gould (England, TV), Nigel Llong (England), Nitin Menon (India)",NULL,NULL,3,4,NULL,1,NULL,NULL
39,"2021-02-14 23:34:08",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40952,1555900200,1555857000,fielding,610,"Rod Tucker (Australia), Vineet Kulkarni (India), Anil Chaudhary (India, TV)",NULL,NULL,1,2,NULL,1,NULL,NULL
40,"2021-02-14 23:34:12",NULL,0,T20,0,0,"Manu Nayyar (India)",NULL,40953,1555986600,1555943400,fielding,612,"Nand Kishore (India), Yeshwant Barde (India, TV), Sundaram Ravi (India)",NULL,NULL,6,7,NULL,1,NULL,NULL
41,"2021-02-14 23:34:15",NULL,0,T20,0,0,"Vengalil Narayan Kutty (India)",NULL,40954,1556073000,1556029800,fielding,610,"Vineet Kulkarni (India, TV), Nigel Llong (England), Anil Chaudhary (India)",NULL,NULL,4,1,NULL,1,NULL,NULL
42,"2021-02-14 23:34:18",NULL,0,T20,0,0,"Javagal Srinath (India)",NULL,40955,1556159400,1556116200,fielding,627,"Chettithody Shamshuddin (India), Rod Tucker (Australia, TV), Bruce Oxenford (Australia)",NULL,NULL,8,2,NULL,1,NULL,NULL
43,"2021-02-14 23:34:21",NULL,0,T20,0,0,"Andy Pycroft (Zimbabwe)",NULL,40956,1556245800,1556202600,fielding,629,"Anil Dandekar (India), Ian Gould (England), Nitin Menon (India, TV)",NULL,NULL,7,3,NULL,1,NULL,NULL
44,"2021-02-14 23:34:24",NULL,0,T20,0,0,"Vengalil Narayan Kutty (India)",NULL,40957,1556332200,1556289000,fielding,610,"Vineet Kulkarni (India, TV), Nigel Llong (England), Anil Chaudhary (India)",NULL,NULL,5,1,NULL,1,NULL,NULL
