pkey,created_on,last_updated_on,version,alt_name,country,gender,url_img,name,short_name,src_id,url_thumb,type
1,"2021-02-14 23:31:20",NULL,0,"Chennai Super Kings",in,male,https://cricket.entitysport.com/assets/uploads/2018/04/Chennai-32x32.png,"Chennai Super Kings",CSK,610,https://cricket.entitysport.com/assets/uploads/2018/04/Chennai-120x80.png,club
2,"2021-02-14 23:31:20",NULL,0,"Royal Challengers Bangalore",in,male,https://cricket.entitysport.com/assets/uploads/2016/04/RCB-32x32.png,"Royal Challengers Bangalore",RCB,646,https://cricket.entitysport.com/assets/uploads/2016/04/RCB.png,club
3,"2021-02-14 23:31:38",NULL,0,"Kolkata Knight Riders",in,male,https://cricket.entitysport.com/assets/uploads/2016/04/KKR-1-32x32.png,"Kolkata Knight Riders",KKR,591,https://cricket.entitysport.com/assets/uploads/2016/04/KKR-1-120x80.png,club
4,"2021-02-14 23:31:39",NULL,0,"Sunrisers Hyderabad",in,male,https://cricket.entitysport.com/assets/uploads/2016/04/SRH-1-32x32.png,"Sunrisers Hyderabad",SRH,658,https://cricket.entitysport.com/assets/uploads/2016/04/SRH-1.png,club
5,"2021-02-14 23:31:55",NULL,0,"Mumbai Indians",in,male,https://cricket.entitysport.com/assets/uploads/2016/04/MI-32x32.png,"Mumbai Indians",MI,593,https://cricket.entitysport.com/assets/uploads/2016/04/MI.png,club
6,"2021-02-14 23:31:55",NULL,0,"Delhi Capitals",in,male,https://cricket.entitysport.com/assets/uploads/2019/03/DC-LOGO-1-32x32.png,"Delhi Capitals",DC,612,https://cricket.entitysport.com/assets/uploads/2019/03/DC-LOGO-1.png,club
7,"2021-02-14 23:32:13",NULL,0,"Rajasthan Royals",in,male,https://cricket.entitysport.com/assets/uploads/2018/04/Rajasthan-32x32.png,"Rajasthan Royals",RR,629,https://cricket.entitysport.com/assets/uploads/2018/04/Rajasthan-120x80.png,club
8,"2021-02-14 23:32:13",NULL,0,"Kings XI Punjab",in,male,https://cricket.entitysport.com/assets/uploads/2016/04/KXI-1-32x32.png,"Kings XI Punjab",KXIP,627,https://cricket.entitysport.com/assets/uploads/2016/04/KXI-1-120x80.png,club
9,"2021-02-14 23:40:24",NULL,0,Afghanistan,af,male,https://cricket.entitysport.com/assets/uploads/2020/12/Afghanistan.png,Afghanistan,AFG,498,https://cricket.entitysport.com/assets/uploads/2020/12/Afghanistan.png,country
10,"2021-02-14 23:40:24",NULL,0,Bangladesh,bd,male,https://cricket.entitysport.com/assets/uploads/2020/12/Bangladesh.png,Bangladesh,BAN,23,https://cricket.entitysport.com/assets/uploads/2020/12/Bangladesh.png,country
11,"2021-02-14 23:40:35",NULL,0,Ireland,ie,male,https://cricket.entitysport.com/assets/uploads/2020/12/Ireland.png,Ireland,IRE,11,https://cricket.entitysport.com/assets/uploads/2020/12/Ireland.png,country
12,"2021-02-14 23:40:45",NULL,0,Zimbabwe,zw,male,https://cricket.entitysport.com/assets/uploads/2020/12/Zimbabwe.png,Zimbabwe,ZIM,493,https://cricket.entitysport.com/assets/uploads/2020/12/Zimbabwe.png,country
13,"2021-02-14 23:41:22",NULL,0,"West Indies",wi,male,https://cricket.entitysport.com/assets/uploads/2020/03/west-indies-over-50s-32x32.png,"West Indies",WI,17,https://cricket.entitysport.com/assets/uploads/2020/03/west-indies-over-50s-120x120.png,country
14,"2021-02-14 23:41:34",NULL,0,England,en,male,https://cricket.entitysport.com/assets/uploads/2020/12/England.png,England,ENG,490,https://cricket.entitysport.com/assets/uploads/2020/12/England.png,club
15,"2021-02-14 23:41:35",NULL,0,Australia,au,male,https://cricket.entitysport.com/assets/uploads/2020/12/Australia.png,Australia,AUS,5,https://cricket.entitysport.com/assets/uploads/2020/12/Australia.png,country
