pkey,created_on,last_updated_on,version,category,competition_id,country,end_date,match_format,name,no_of_matches,no_of_rounds,no_of_teams,season,short_name,src_id,start_date
1,"2021-02-14 23:31:18","2021-02-14 23:58:14",3,domestic,IPL,in,2019-05-17,t20,"Indian Premier League",60,5,9,2019,ipl-2019,112588,2019-03-23
2,"2021-02-14 23:35:15","2021-02-14 23:58:16",3,domestic,IPL,in,2020-11-10,t20,"Indian Premier League",60,1,8,2020,ipl-2020,116699,2020-09-19
3,"2021-02-14 23:37:49","2021-02-14 23:58:18",3,domestic,IPL,in,2018-05-27,t20,"Indian Premier League - IPL",60,5,9,2018,IPL-2018,111146,2018-04-07
4,"2021-02-14 23:40:23","2021-02-14 23:58:20",3,international,T20I,int,2018-06-18,mixed,"Afghanistan tour of India",4,2,3,2018,atoi-18,111120,2018-06-03
5,"2021-02-14 23:40:34","2021-02-14 23:58:21",3,international,T20I,int,2018-08-31,mixed,"Afghanistan tour of Ireland",6,2,2,2018,atoi-18,111472,2018-08-20
6,"2021-02-14 23:40:44","2021-02-14 23:58:21",3,international,T20I,int,2018-02-19,mixed,"Afghanistan tour of United Arab Emirates",11,3,4,2017/18,atouae-1718,108613,2017-12-05
7,"2021-02-14 23:40:54","2021-02-14 23:58:22",3,international,T20I,int,2019-03-21,mixed,"Afghanistan vs Ireland in India",9,3,2,2018/19,itoi-1819,112297,2019-02-23
8,"2021-02-14 23:41:09","2021-02-14 23:58:22",3,international,T20I,int,2020-03-10,t20i,"Afghanistan vs Ireland T20I Series",3,1,2,2020,itoi-201920,114527,2020-03-06
9,"2021-02-14 23:41:21","2021-02-14 23:58:23",3,international,T20I,int,2019-12-01,mixed,"Afghanistan vs West Indies",7,3,2,2019,atoi-201920,113831,2019-11-05
10,"2021-02-14 23:41:33","2021-02-14 23:58:24",3,international,T20I,int,2018-06-27,mixed,"Australia tour of England",6,2,2,2018,atoe-18,111122,2018-06-13
11,"2021-02-14 23:41:41","2021-02-14 23:58:24",3,international,T20I,int,2020-09-16,mixed,"Australia tour of England",6,2,3,2020,atosae-2020,116507,2020-09-04
12,"2021-02-14 23:41:52","2021-02-14 23:58:25",3,international,T20I,int,2017-10-13,mixed,"Australia tour of India",9,2,3,2017/18,atoi-1718,104964,2017-09-17
13,"2021-02-14 23:41:59","2021-02-14 23:58:25",3,international,T20I,int,2019-03-13,mixed,"Australia tour of India",7,2,2,2018/19,atoi-1819,112302,2019-02-24
14,"2021-02-14 23:42:09","2021-02-14 23:58:26",3,international,T20I,int,2020-03-29,t20i,"Australia tour of New Zealand",3,1,2,2020,atonz-201920,113456,2020-03-24
15,"2021-02-14 23:42:12","2021-02-14 23:58:27",3,international,T20I,int,2020-03-07,mixed,"Australia tour of South Africa",6,2,2,2020,atosa-201920,113460,2020-02-21
16,"2021-02-14 23:42:23","2021-02-14 23:58:27",3,international,T20I,int,2019-11-26,mixed,"Bangladesh tour of India",5,2,2,2019,btoi-201920,113453,2019-11-03
17,"2021-02-14 23:42:34","2021-02-14 23:58:28",3,international,T20I,int,2019-03-20,mixed,"Bangladesh tour of New Zealand",6,2,2,2018/19,btonz-1819,111623,2019-02-13
18,"2021-02-14 23:42:34","2021-02-14 23:58:28",3,international,T20I,int,2020-04-09,t20i,"Bangladesh tour of Pakistan",6,2,2,2020,btop-201920,114293,2020-01-24
19,"2021-02-14 23:42:45","2021-02-14 23:58:29",3,international,T20I,int,2017-10-29,mixed,"Bangladesh tour of South Africa",9,3,3,2017/18,btosa-1718,90700,2017-09-21
20,"2021-02-14 23:42:54","2021-02-14 23:58:29",3,international,T20I,int,2018-08-05,mixed,"Bangladesh tour of West Indies and United States of America",9,3,4,2018,btowiausoa-18,111266,2018-07-04
21,"2021-02-14 23:43:05","2021-02-14 23:58:30",3,international,T20I,int,2019-09-24,t20i,"Bangladesh Twenty20 Tri-Series",7,2,3,2019,btt-2019,113621,2019-09-13
22,"2021-02-14 23:43:21","2021-02-14 23:58:31",3,international,T20I,int,2021-03-28,mixed,"England tour of India",12,3,2,2021,etoi-202021,117665,2021-02-05
23,"2021-02-14 23:43:25","2021-02-14 23:58:31",3,international,T20I,int,2018-04-03,mixed,"England tour of New Zealand",29,2,7,2017/18,etoaanz-1718,90715,2017-11-23
24,"2021-02-14 23:43:41","2021-02-14 23:58:32",3,international,T20I,int,2019-12-03,mixed,"England tour of New Zealand",10,2,4,2019,etonz-201920,113463,2019-10-27
25,"2021-02-14 23:43:55","2021-02-14 23:58:33",3,international,T20I,int,2020-02-16,mixed,"England tour of South Africa",14,5,4,2019,etosa-201920,113474,2019-12-17
26,"2021-02-14 23:44:03","2021-02-14 23:58:33",3,international,T20I,int,2020-12-09,mixed,"England tour of South Africa",8,4,4,2020,etosa-202021,116959,2020-11-21
27,"2021-02-14 23:44:15","2021-02-14 23:58:34",3,international,T20I,int,2018-11-27,mixed,"England tour of Sri Lanka",9,3,2,2018/19,etosl-1819,111297,2018-10-10
28,"2021-02-14 23:44:21","2021-02-14 23:58:34",3,international,T20I,int,2019-03-10,mixed,"England tour of West Indies",11,3,3,2018/19,etowi-1819,111616,2019-01-15
29,"2021-02-14 23:44:31","2021-02-14 23:58:35",3,international,T20I,int,2020-11-15,t20i,"ICC Men's T20 World Cup",45,0,17,2020,imtwc-202021,115744,2020-10-18
30,"2021-02-14 23:45:00","2021-02-14 23:58:36",3,international,T20I,int,2018-05-31,t20i,"ICC World XI tour of England",1,1,2,2018,iwxtoe-18,111222,2018-05-31
31,"2021-02-14 23:45:07","2021-02-14 23:58:37",3,international,T20I,int,2019-01-18,mixed,"India tour of Australia",10,3,2,2018/19,itoa-1819,111301,2018-11-21
32,"2021-02-14 23:45:15","2021-02-14 23:58:38",3,international,T20I,int,2021-01-17,mixed,"India tour of Australia",12,4,4,2020,india-in-australia-2020-21,116925,2020-12-03
33,"2021-02-14 23:45:22","2021-02-14 23:58:38",3,international,T20I,int,2018-09-11,t20i,"India tour of England",14,4,4,2018,itoiae-18,111127,2018-06-27
34,"2021-02-14 23:45:32","2021-02-14 23:58:39",3,international,T20I,int,2019-02-19,mixed,"India tour of New Zealand",8,2,2,2018/19,itonz-1819,111620,2019-01-23
35,"2021-02-14 23:45:39","2021-02-14 23:58:39",3,international,T20I,int,2020-03-04,mixed,"India tour of New Zealand",11,3,3,2020,itonz-201920,113467,2020-01-24
36,"2021-02-14 23:45:55","2021-02-14 23:58:40",3,international,T20I,int,2018-02-24,mixed,"India tour of South Africa",12,3,2,2017/18,itosa-1718,108342,2017-12-30
37,"2021-02-14 23:46:02","2021-02-14 23:58:41",3,international,T20I,int,2019-10-04,mixed,"India tour of West Indies",8,3,2,2019,itousoaawi-2019,113394,2019-08-03
38,"2021-02-14 23:46:12","2021-02-14 23:58:41",3,international,T20I,int,2020-01-19,mixed,"Ireland tour of West Indies",7,2,4,2020,itowi-201920,114114,2020-01-07
39,"2021-02-14 23:46:21","2021-02-14 23:58:42",3,international,T20I,int,2020-01-07,mixed,"New Zealand tour of Australia",3,1,2,2019,nztoa-201920,113476,2019-12-12
40,"2021-02-14 23:46:21","2021-02-14 23:58:42",3,international,T20I,int,2017-11-07,mixed,"New Zealand tour of India",8,2,3,2017/18,nztoi-1718,106476,2017-10-22
41,"2021-02-14 23:46:30","2021-02-14 23:58:43",3,international,T20I,int,2019-09-06,mixed,"New Zealand tour of Sri Lanka",5,2,2,2019,nztosl-2019,113452,2019-08-08
42,"2021-02-14 23:46:39","2021-02-14 23:58:44",3,international,T20I,int,2018-12-07,mixed,"New Zealand tour of United Arab Emirates",9,3,2,2018/19,nztouae-1819,111608,2018-10-31
43,"2021-02-14 23:58:44","2021-02-14 23:58:44",1,international,T20I,int,2020-09-02,mixed,"Pakistan tour England",6,2,2,2020,ptoniae-2020,115941,2020-07-04
44,"2021-02-14 23:58:56","2021-02-14 23:58:56",1,international,T20I,int,2019-12-02,mixed,"Pakistan tour of Australia",6,2,3,2019,ptoa-201920,113471,2019-11-03
45,"2021-02-14 23:59:09","2021-02-14 23:59:09",1,international,T20I,int,2019-05-19,mixed,"Pakistan tour of England",9,3,6,2019,ptoe-2019,111626,2019-04-27
