,1,2,3,4
23,-,43.0,54.33,57.9
22,29.11,63.4,12.62,84.0
24,7.0,16.0,31.0,38.5
19,29.69,41.4,65.0,43.33
42,25.58,47.43,39.17,16.0
27,32.5,56.83,35.25,21.14
41,-,-,42.5,15.0
46,10.67,46.5,20.0,13.0
11,43.62,50.0,29.8,40.33
12,9.0,19.25,31.2,16.33
21,34.5,43.62,66.86,42.75
47,38.3,14.2,32.5,3.0
25,-,27.0,18.75,12.33
162,20.0,25.33,92.5,18.85
3,-,15.0,27.5,21.2
44,26.5,11.67,35.0,16.0
50,54.2,24.0,27.0,0.0
107,24.58,25.33,72.33,14.86
117,-,23.0,25.88,42.0
137,34.17,60.4,25.67,19.0
103,39.29,31.0,7.75,0.0
104,54.0,48.1,18.41,41.0
143,-,43.5,17.46,16.92
118,-,-,33.56,33.71
106,42.11,24.75,27.6,20.0
78,80.0,45.57,47.7,21.12
68,29.12,23.25,58.0,12.67
94,32.0,36.0,17.4,14.5
87,1.0,-,36.33,18.86
65,19.0,-,33.33,20.38
110,38.32,44.1,31.38,48.0
62,70.25,30.89,31.67,20.9
54,45.62,44.5,48.0,6.5
72,75.5,47.14,27.38,85.0
99,19.0,30.33,26.22,29.71
142,76.6,35.62,20.33,34.8
131,-,11.0,29.33,52.0
214,16.0,18.25,8.12,23.67
136,142.0,63.29,42.71,21.33
115,20.67,28.17,26.33,9.0
177,81.27,28.36,179.0,33.25
167,30.45,27.08,19.57,19.5
29,19.0,29.0,37.17,29.4
219,25.62,21.2,11.83,14.0
186,39.5,58.4,32.33,36.0
166,6.5,51.5,30.25,14.4
181,-,59.0,49.33,11.5
198,34.0,72.33,33.6,14.57
184,22.67,21.0,19.5,26.4
190,-,34.0,13.6,21.5
97,41.0,17.8,40.5,34.0
93,21.3,16.0,22.0,2.5
90,-,14.67,39.0,30.8
79,47.62,27.5,35.83,19.67
60,27.56,26.38,32.44,19.33
84,39.21,35.0,16.14,14.0
61,31.18,20.73,19.57,9.75
187,29.56,22.0,25.17,19.5
188,58.22,59.8,28.89,20.6
165,28.6,46.0,27.5,22.33
161,30.29,24.0,23.14,17.2
196,-,-,11.25,13.0
174,-,10.0,8.67,19.33
194,22.6,67.5,18.71,17.0
170,22.57,40.0,101.5,13.86
