,1,2,3,4
23,22,129,326,579
22,262,317,164,84
24,7,16,93,308
19,475,207,195,130
42,614,332,235,64
27,325,341,423,148
41,0,9,85,135
46,32,93,80,39
11,567,350,298,242
12,27,77,156,49
21,207,349,468,342
47,383,71,65,6
25,0,27,75,74
162,40,76,185,245
3,0,15,55,106
44,53,35,105,80
50,271,120,81,0
107,467,228,217,104
117,13,69,207,378
137,205,302,308,76
103,275,124,31,0
104,540,481,313,82
143,3,87,227,203
118,0,64,302,573
106,758,297,138,40
78,240,319,477,169
68,233,93,58,38
94,32,72,87,58
87,1,11,109,132
65,19,18,100,163
110,843,441,251,96
62,281,278,285,209
54,365,267,144,13
72,604,330,219,85
99,19,91,236,208
142,383,463,366,174
131,2,33,88,208
214,64,73,65,71
136,142,443,598,320
115,558,169,79,18
177,894,397,358,266
167,335,325,137,78
29,57,87,223,294
219,205,106,71,14
186,553,292,194,108
166,26,103,121,72
181,11,59,148,69
198,34,217,168,102
184,68,42,39,132
190,36,68,68,86
97,41,178,324,374
93,426,144,44,5
90,0,44,429,462
79,381,220,215,118
60,248,343,292,116
84,549,210,113,14
61,343,311,137,39
187,532,154,151,39
188,524,299,260,103
165,286,460,275,134
161,212,144,162,86
196,0,14,45,91
174,8,10,52,116
194,226,135,131,102
170,158,160,203,97
