,1,2,3,4
23,73.33,97.73,104.82,189.84
22,129.7,118.28,123.31,190.91
24,116.67,61.54,108.14,174.01
19,121.17,104.02,151.16,265.31
42,110.43,158.85,202.59,177.78
27,122.18,114.43,137.79,134.55
41,-,69.23,119.72,170.89
46,86.49,98.94,112.68,78.0
11,134.36,106.06,131.28,220.0
12,90.0,130.51,210.81,153.12
21,133.55,131.2,167.14,237.5
47,148.45,112.7,138.3,100.0
25,-,87.1,120.97,172.09
162,102.56,107.04,112.8,172.54
3,-,78.95,134.15,145.21
44,103.92,109.38,147.89,186.05
50,129.05,111.11,144.64,0.0
107,118.53,119.37,145.64,189.09
117,130.0,107.81,133.55,204.32
137,107.89,130.17,168.31,237.5
103,141.03,124.0,96.88,0.0
104,144.39,121.16,140.36,186.36
143,100.0,94.57,121.39,173.5
118,-,156.1,130.17,200.35
106,134.4,125.85,151.65,160.0
78,118.23,112.72,165.05,160.95
68,142.94,129.17,141.46,118.75
94,145.45,102.86,116.0,148.72
87,14.29,100.0,100.0,148.31
65,126.67,54.55,119.05,144.25
110,137.52,134.86,152.12,145.45
62,143.37,100.0,125.0,149.29
54,133.21,150.85,156.52,130.0
72,135.73,138.08,139.49,188.89
99,65.52,84.26,126.2,184.07
142,115.71,110.24,135.06,191.21
131,50.0,91.67,91.67,187.39
214,125.49,121.67,97.01,151.06
136,113.6,128.41,159.47,220.69
115,134.46,143.22,171.74,163.64
177,134.44,120.3,149.17,201.52
167,126.89,160.1,142.71,222.86
29,121.28,116.0,131.18,168.0
219,107.89,107.07,165.12,200.0
186,144.39,127.51,177.98,177.05
166,76.47,130.38,131.52,200.0
181,157.14,100.0,135.78,135.29
198,147.83,199.08,151.35,143.66
184,130.77,135.48,90.7,188.57
190,128.57,109.68,106.25,150.88
97,75.93,113.38,132.79,200.0
93,176.76,156.52,220.0,100.0
90,-,93.62,165.64,244.44
79,120.57,114.58,140.52,135.63
60,113.24,127.99,170.76,184.13
84,136.57,121.39,141.25,140.0
61,124.28,118.25,134.31,118.18
187,125.47,106.94,143.81,121.88
188,158.31,135.91,149.43,171.67
165,131.19,141.54,153.63,223.33
161,136.77,114.29,135.0,150.88
196,0.0,93.33,100.0,137.88
174,200.0,200.0,123.81,196.61
194,127.68,127.36,107.38,170.0
170,117.91,111.89,130.13,129.33
